Number,q,T,vi.x,vi.y,objFunc
21,2.000000,0.140023->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.745884,0.747359,-3.368047
21,2.000000,0.140023->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.620125,0.567052,-3.368047
21,2.000000,0.140023->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.218282,0.247604,-3.368047
22,2.000000,0.146733->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.734072,0.675078,1.708866
22,2.000000,0.146733->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.394853,0.371690,1.708866
22,2.000000,0.146733->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.376330,0.456273,1.708866
23,2.000000,0.153765->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.737048,0.693088,1.973445
23,2.000000,0.153765->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.302333,0.331086,1.973445
23,2.000000,0.153765->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.467220,0.490829,1.973445
24,2.000000,0.161133->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.212752,0.238513,-6.685845
24,2.000000,0.161133->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.458639,0.448152,-6.685845
24,2.000000,0.161133->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.788129,0.760071,-6.685845
25,2.000000,0.168855->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.319859,0.320976,-6.276655
25,2.000000,0.168855->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.727826,0.756997,-6.276655
25,2.000000,0.168855->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.388460,0.365437,-6.276655
26,2.000000,0.176947->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.613997,0.594274,1.058905
26,2.000000,0.176947->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.637681,0.617849,1.058905
26,2.000000,0.176947->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.306867,0.332241,1.058905
27,2.000000,0.185426->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.591252,0.630564,-1.339015
27,2.000000,0.185426->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.459698,0.448235,-1.339015
27,2.000000,0.185426->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.472562,0.442928,-1.339015
28,2.000000,0.194312->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.358817,0.325912,-10.320469
28,2.000000,0.194312->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.315709,0.352812,-10.320469
28,2.000000,0.194312->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.768901,0.748185,-10.320469
29,2.000000,0.203623->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.273353,0.338567,-9.399848
29,2.000000,0.203623->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.634961,0.625223,-9.399848
29,2.000000,0.203623->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.583549,0.536449,-9.399848
30,2.000000,0.213381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.541283,0.531223,-0.933339
30,2.000000,0.213381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.484990,0.483496,-0.933339
30,2.000000,0.213381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.496676,0.504348,-0.933339
31,2.000000,0.223607->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.333158,0.294201,-6.765644
31,2.000000,0.223607->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.566365,0.590119,-6.765644
31,2.000000,0.223607->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.674652,0.702058,-6.765644
32,2.000000,0.234322->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.235188,0.227312,-12.167686
32,2.000000,0.234322->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.646230,0.672339,-12.167686
32,2.000000,0.234322->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.707067,0.681604,-12.167686
33,2.000000,0.245551->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.480279,0.514851,-12.126791
33,2.000000,0.245551->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.578310,0.513817,-12.126791
33,2.000000,0.245551->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.478589,0.502874,-12.126791
34,2.000000,0.257318->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.424669,0.475436,-13.322224
34,2.000000,0.257318->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.621909,0.578676,-13.322224
34,2.000000,0.257318->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.515338,0.486612,-13.322224
35,2.000000,0.269649->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.709975,0.732945,-10.345273
35,2.000000,0.269649->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.398054,0.412362,-10.345273
35,2.000000,0.269649->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.333206,0.297833,-10.345273
36,2.000000,0.282571->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504856,0.466989,-16.690914
36,2.000000,0.282571->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.299915,0.359540,-16.690914
36,2.000000,0.282571->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.664583,0.650114,-16.690914
37,2.000000,0.296112->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.466056,0.438130,-17.898834
37,2.000000,0.296112->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.318877,0.371105,-17.898834
37,2.000000,0.296112->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.706987,0.679275,-17.898834
38,2.000000,0.310302->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.671943,0.649124,-21.089201
38,2.000000,0.310302->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.301446,0.320236,-21.089201
38,2.000000,0.310302->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.590986,0.584476,-21.089201
39,2.000000,0.325172->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.584199,0.552406,-19.170685
39,2.000000,0.325172->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.428510,0.422916,-19.170685
39,2.000000,0.325172->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.543431,0.578031,-19.170685
40,2.000000,0.340755->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.557061,0.510015,-23.933826
40,2.000000,0.340755->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.469030,0.492563,-23.933826
40,2.000000,0.340755->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511418,0.523157,-23.933826
