Number,q,T,vi.x,vi.y,objFunc
73,2.000000,1.59693->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.458185,0.451889,-142.168182
74,2.000000,1.67346->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.419387,0.425079,-152.387634
74,2.000000,1.67346->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.499595,0.492348,-152.387634
74,2.000000,1.67346->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.598997,0.596838,-152.387634
75,2.000000,1.75365->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.468557,0.476889,-160.906769
75,2.000000,1.75365->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.573176,0.560795,-160.906769
75,2.000000,1.75365->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.493678,0.492285,-160.906769
76,2.000000,1.83769->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.541681,0.521911,-169.769852
76,2.000000,1.83769->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.520990,0.534186,-169.769852
76,2.000000,1.83769->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.469078,0.471252,-169.769852
77,2.000000,1.92575->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.493933,0.479940,-178.070145
77,2.000000,1.92575->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.560303,0.568428,-178.070145
77,2.000000,1.92575->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.474541,0.475265,-178.070145
78,2.000000,2.01804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.521238,0.523746,-185.275513
78,2.000000,2.01804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.475439,0.473975,-185.275513
78,2.000000,2.01804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.533351,0.528359,-185.275513
79,2.000000,2.11474->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.500763,0.495607,-195.552399
79,2.000000,2.11474->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.494007,0.495150,-195.552399
79,2.000000,2.11474->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.536092,0.535827,-195.552399
80,2.000000,2.21608->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.504587,0.510006,-206.351379
80,2.000000,2.21608->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.544834,0.529871,-206.351379
80,2.000000,2.21608->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.477942,0.483904,-206.351379
81,2.000000,2.32228->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.511757,0.508258,-219.053680
81,2.000000,2.32228->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.464545,0.470908,-219.053680
